JC BPR,,,,,,,,,,,,,,,,,,
Sl No.,API Address,Component Address,Message Name,Datatype,Range/Value,Scale Factor,Units,Priority,Message rate,Description,Message type,Access type,,,,,,
System 00xxx,,,,,,,,,,,,,,,,,,
,1,,API_Ready,,"[0,1]",,,,initilaization,"API ready test bit, should always be one when API is functional",,read only,,,,,,
,2,,API_Version,,"[1,65535]",,,,initialization,"Hi byte: Major version, Lo byte: Minor version (eg  v1.2 = 0x0102 = 258)",,read only,,,,,,
,3,,API_Status,,"[0,65535]",,,,user driven,TBD,,,,,,,,
,4,,API_TestRegister,,"[0,65535]",,,,user driven,"Software-implemented R/W ""passive memory"" location",,read-write,,,,,,
,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nameplate xx1xx,,,,,,,,,,,,,,,,,,
SolArk Inverter 011xx,,,,,,,,,,,,,,,,,,
,1101,20,Inv_WRtg1,uint16,,0.1,W,M,initialization,Rated AC active power in watts (low word),AI,read only,,,"Response from SolArk, updated after Eaton's review",,,
,1102,21,Inv_WRtg2,uint16,,0.1,W,M,initialization,Rated AC active power in watts (high word),AI,read only,,Priority:,M: Mandatory,,,
,1103,always == 60000,Inv_VARtg,uint16,60000,,VA,O,initialization,Rated apparent power voltamperes,AI,read only,,,O: Optional,,,
,1104,34,Inv_VNomRtg,uint16,,,V,M,initialization,"Nominal AC voltage (L-L RMS) in volts
[Default output voltage]",AI,read only,,?,Awaiting feedback from JC,,,
,1105,147,Inv_GridPhSeq,enum16,,,,M,initialization,"0: 0-120-240
1: 0-240-120",,,,,Ignore,,,
DCDC Converter 021xx,,,,,,,,,,,,,,,,,,
,2101,?,DCDC_Wrated,,,,W,O,initialization,Rated converter size in watts,AI,read only,,For SMP:,,,,
,2102,?,DCDC_VRated,,,,V,O,initialization,Rated converter voltage in volts,AI,read only,,read only:,input registers,,,
,2103,?,DCDC_ARated,,,,A,O,initialization,Rated converter current in amperes,AI,read only,,read-write:,holding registers,,,
,2104,0x02?,DCDC_NPowerMod,,,,,M,initialization,Number of power modules in system,AI,read only,,,,,,
Switch Matrix 031xx,,,,,,,,,,,,,,,,,,
,3101,0xC,Bat_WChCap,,uint16,0.1,kWh,M,initialization,Rated charging capacity in kwh,AI,read only,,,,,,
,3102,0xC,Bat_WDisChCap,,uint16,0.1,kWh,M,initialization,Rated discharging capacity in kwh,AI,read only,,,,,,
Battery BMS (no Nameplate code points) 041xx,,,,,,,,,,,,,,,,,,
,4101,,,,,,,,,,,,,,,,,
Configuration xx2xx,,,,,,,,,,,,,,,,,,
SolArk Inverter 012xx,,,,,,,,,,,,,,,,,,
,1201,233,Inv_WGridImpMax,uint16,"[0,65535]",10,W,M,user driven,Maximum allowed grid power import,AO,read-write,,,,,,
,1202,143,Inv_WGridExpMax,uint16,"[0,30000]",1,W,M,user driven,"Maximum allowed grid power export in watts (selling power, LV: 1W, HV, 10W)",AO,read-write,,,,,,
,1203,126,Inv_VGridChrgBat,uint16,"[0,8000]",0.01,V,M,user driven,Grid charge start voltage point,AO,read-write,,,,,,
